step,avg_len,avg_score,n,pos_len,neg_len
1,2787.85546875,0.71875,256,2275.9728260869565,4096.0
2,3398.609375,0.55859375,256,2847.5244755244757,4096.0
3,3376.66015625,0.60546875,256,2910.6838709677418,4091.772277227723
4,3640.53515625,0.453125,256,3108.7155172413795,4081.1857142857143
5,3029.328125,0.76171875,256,2697.4205128205126,4090.344262295082
6,2819.68359375,0.671875,256,2196.3662790697676,4096.0
7,3415.84375,0.62890625,256,3023.9937888198756,4079.926315789474
8,3209.44921875,0.6953125,256,2820.9606741573034,4096.0
9,3306.39453125,0.609375,256,2800.2371794871797,4096.0
10,3439.01171875,0.65625,256,3094.875,4096.0
11,3289.3515625,0.70703125,256,2956.038674033149,4093.7466666666664
12,3280.63671875,0.68359375,256,2903.24,4096.0
13,3414.00390625,0.5859375,256,2932.06,4096.0
14,3001.90234375,0.71484375,256,2565.4590163934427,4096.0
15,3625.27734375,0.4375,256,3020.0625,4096.0
16,3509.41015625,0.60546875,256,3127.18064516129,4096.0
17,3363.765625,0.75,256,3119.6875,4096.0
18,3074.796875,0.6328125,256,2537.685185185185,4000.4574468085107
19,3362.3046875,0.72265625,256,3080.7243243243242,4096.0
20,2929.0625,0.69921875,256,2427.0837988826815,4096.0
21,3164.01171875,0.71484375,256,2804.0765027322404,4066.3150684931506
22,2544.05859375,0.75,256,2036.7760416666667,4065.90625
23,3026.859375,0.75,256,2703.6510416666665,3996.484375
24,2594.4296875,0.89453125,256,2417.3886462882097,4096.0
25,2961.0703125,0.828125,256,2725.5188679245284,4096.0
26,3257.44921875,0.60546875,256,2742.5806451612902,4047.5940594059407
27,2793.69140625,0.80078125,256,2469.70243902439,4096.0
28,2640.88671875,0.90625,256,2501.219827586207,3991.0
29,2941.046875,0.80859375,256,2673.0676328502414,4073.122448979592
30,2845.46484375,0.78515625,256,2503.2786069651743,4096.0
31,3182.640625,0.62890625,256,2725.186335403727,3957.9052631578948
32,2813.8671875,0.74609375,256,2377.5392670157066,4096.0
33,2917.45703125,0.8046875,256,2631.402912621359,4096.0
34,2921.1328125,0.72265625,256,2522.951351351351,3958.6478873239435
35,2618.66796875,0.91796875,256,2504.136170212766,3900.3333333333335
36,2811.16796875,0.69140625,256,2255.0225988700563,4057.215189873418
37,3024.3046875,0.79296875,256,2745.3793103448274,4092.6415094339623
38,2605.11328125,0.83203125,256,2304.1361502347418,4096.0
39,3375.6875,0.78515625,256,3179.681592039801,4092.0
40,2955.7109375,0.734375,256,2543.2659574468084,4096.0
41,2874.0625,0.796875,256,2615.455882352941,3888.596153846154
42,2332.94140625,0.9453125,256,2247.206611570248,3814.9285714285716
43,2346.26953125,0.90234375,256,2165.6103896103896,4015.56
44,2709.41796875,0.859375,256,2482.5227272727275,4096.0
45,2646.078125,0.88671875,256,2503.2555066079294,3764.0344827586205
46,2874.6171875,0.83984375,256,2642.655813953488,4091.0
47,2755.90234375,0.77734375,256,2372.0552763819096,4096.0
48,3078.0078125,0.6953125,256,2683.938202247191,3977.2948717948716
49,2844.265625,0.875,256,2665.4464285714284,4096.0
50,3107.42578125,0.8203125,256,2908.790476190476,4014.2391304347825
51,2267.6484375,0.921875,256,2147.169491525424,3689.3
52,2809.54296875,0.84765625,256,2596.8801843317974,3992.8205128205127
53,2594.1015625,0.890625,256,2445.3859649122805,3805.0714285714284
54,2206.34375,0.90625,256,2012.353448275862,4081.5833333333335
