step,avg_len,avg_score,n,pos_len,neg_len
1,2812.9296875,0.71484375,256,2301.103825136612,4096.0
2,3354.4765625,0.56640625,256,2786.8275862068967,4096.0
3,3383.16796875,0.5546875,256,2812.4084507042253,4094.1140350877195
4,3631.578125,0.43359375,256,3028.4504504504503,4093.2827586206895
5,3071.9296875,0.72265625,256,2703.6,4031.6619718309857
6,2846.44140625,0.67578125,256,2246.942196531792,4096.0
7,3438.10546875,0.609375,256,3016.378205128205,4096.0
8,3219.44140625,0.6875,256,2821.005681818182,4096.0
9,3320.171875,0.57421875,256,2744.8979591836733,4096.0
10,3431.26171875,0.61328125,256,3012.0955414012737,4096.0
11,3299.50390625,0.6953125,256,2953.629213483146,4088.8076923076924
12,3320.015625,0.6484375,256,2900.3012048192772,4094.1555555555556
13,3394.75,0.640625,256,3001.3658536585367,4096.0
14,3040.3828125,0.6796875,256,2542.9080459770116,4096.0
15,3648.34375,0.42578125,256,3052.467889908257,4090.183673469388
16,3484.296875,0.609375,256,3092.1794871794873,4096.0
17,3378.859375,0.7421875,256,3137.8736842105263,4072.6060606060605
18,3093.75390625,0.61328125,256,2507.433121019108,4023.5757575757575
19,3373.1015625,0.69140625,256,3050.45197740113,4096.0
20,2927.7578125,0.71875,256,2470.6195652173915,4096.0
21,3235.81640625,0.6796875,256,2832.787356321839,4091.0243902439024
22,2595.890625,0.74609375,256,2088.2251308900522,4087.646153846154
23,3065.203125,0.76171875,256,2767.5794871794874,4016.622950819672
24,2631.79296875,0.8984375,256,2469.75652173913,4065.1923076923076
25,3046.01953125,0.81640625,256,2811.665071770335,4088.148936170213
26,3299.53515625,0.58984375,256,2767.3245033112585,4064.904761904762
27,2842.08984375,0.8125,256,2558.3076923076924,4071.8125
28,2716.0546875,0.91015625,256,2579.8369098712446,4096.0
29,3009.78125,0.78515625,256,2721.353233830846,4063.8545454545456
30,2909.015625,0.765625,256,2545.6530612244896,4096.0
31,3243.140625,0.6640625,256,2905.470588235294,3910.6279069767443
