step,avg_len,avg_score,n,pos_len,neg_len
1,2840.67578125,0.67578125,256,2238.4104046242774,4096.0
2,3325.2421875,0.5625,256,2725.7638888888887,4096.0
3,3333.7734375,0.58203125,256,2786.4026845637586,4096.0
4,3639.671875,0.4765625,256,3147.1803278688526,4088.0597014925374
5,2993.12890625,0.74609375,256,2628.7696335078535,4063.7846153846153
6,2817.8125,0.69921875,256,2267.9776536312847,4096.0
7,3448.78515625,0.63671875,256,3079.5153374233128,4096.0
8,3152.59375,0.69921875,256,2746.7709497206706,4096.0
9,3290.48828125,0.5703125,256,2683.595890410959,4096.0
10,3459.3046875,0.609375,256,3051.1666666666665,4096.0
11,3311.6875,0.7265625,256,3016.516129032258,4096.0
12,3282.98046875,0.68359375,256,2906.6685714285713,4096.0
13,3430.3203125,0.58203125,256,2952.281879194631,4096.0
14,3032.03515625,0.671875,256,2512.4244186046512,4096.0
15,3609.859375,0.4453125,256,3015.2982456140353,4087.1830985915494
16,3470.36328125,0.58984375,256,3046.7880794701987,4079.504761904762
17,3335.91015625,0.7734375,256,3120.712121212121,4070.551724137931
18,3085.46875,0.6328125,256,2542.0246913580245,4022.0425531914893
19,3354.515625,0.70703125,256,3047.270718232044,4096.0
20,2895.0703125,0.6953125,256,2368.820224719101,4096.0
21,3251.11328125,0.69921875,256,2887.6703910614524,4096.0
22,2601.13671875,0.73828125,256,2082.164021164021,4065.10447761194
23,3044.921875,0.7421875,256,2681.184210526316,4092.0454545454545
24,2586.453125,0.87109375,256,2363.067264573991,4096.0
25,3003.8125,0.8046875,256,2743.5776699029125,4075.98
26,3265.6328125,0.62890625,256,2791.894409937888,4068.4947368421053
27,2715.546875,0.80859375,256,2389.473429951691,4093.0408163265306
28,2620.06640625,0.91015625,256,2474.3733905579397,4096.0
29,2940.92578125,0.8125,256,2680.168269230769,4070.875
30,2840.27734375,0.80859375,256,2543.0289855072465,4096.0
31,3116.28125,0.70703125,256,2774.1215469613257,3942.0266666666666
32,2776.40625,0.765625,256,2372.4489795918366,4096.0
33,2826.53515625,0.85546875,256,2622.8356164383563,4032.2162162162163
34,2937.515625,0.76171875,256,2608.2615384615383,3990.0491803278687
35,2549.47265625,0.91796875,256,2428.6723404255317,3901.285714285714
36,2737.82421875,0.70703125,256,2237.353591160221,3945.6266666666666
37,3025.734375,0.78515625,256,2734.2039800995026,4091.1454545454544
38,2614.3828125,0.83984375,256,2331.8418604651165,4096.0
39,3358.6484375,0.76953125,256,3140.796954314721,4086.0508474576272
40,2947.59765625,0.73828125,256,2540.4920634920636,4096.0
41,2837.4921875,0.8359375,256,2601.1869158878503,4041.5238095238096
42,2290.87109375,0.9609375,256,2217.491869918699,4096.0
43,2324.75,0.89453125,256,2115.9126637554587,4096.0
44,2659.14453125,0.87890625,256,2461.177777777778,4096.0
45,2592.484375,0.87890625,256,2451.8044444444445,3613.548387096774
46,2777.203125,0.87890625,256,2595.5022222222224,4096.0
47,2674.609375,0.80859375,256,2338.144927536232,4096.0
48,3073.4765625,0.71875,256,2679.1195652173915,4081.277777777778
49,2785.296875,0.875,256,2598.0535714285716,4096.0
50,3069.51171875,0.84765625,256,2900.548387096774,4009.641025641026
51,2218.16015625,0.921875,256,2090.5974576271187,3723.4
52,2733.51171875,0.8046875,256,2429.106796116505,3987.66
53,2503.296875,0.89453125,256,2374.812227074236,3593.037037037037
54,2198.87109375,0.90234375,256,2000.4675324675325,4032.12
55,2959.875,0.6875,256,2459.4488636363635,4060.8125
56,2670.23828125,0.83203125,256,2404.258215962441,3987.767441860465
57,2590.546875,0.92578125,256,2469.856540084388,4096.0
58,2835.5234375,0.734375,256,2379.8670212765956,4095.279411764706
59,2313.79296875,0.9140625,256,2172.4615384615386,3817.0454545454545
60,3103.21484375,0.71484375,256,2748.622950819672,3992.123287671233
61,2735.9453125,0.828125,256,2517.693396226415,3787.5227272727275
62,2400.1015625,0.77734375,256,1927.7537688442212,4049.1754385964914
63,2464.5625,0.8984375,256,2283.6304347826085,4065.1153846153848
64,2222.80078125,0.92578125,256,2085.447257383966,3936.1052631578946
65,2656.98046875,0.83203125,256,2375.474178403756,4051.4186046511627
66,2065.8203125,0.953125,256,1978.7295081967213,3836.6666666666665
67,2603.8203125,0.87109375,256,2389.493273542601,4052.151515151515
