step,avg_len,avg_score,n,pos_len,neg_len
1,2826.69921875,0.69140625,256,2260.175141242938,4096.0
2,3359.3359375,0.55078125,256,2758.5106382978724,4096.0
3,3415.53515625,0.58203125,256,2930.8791946308725,4090.429906542056
4,3662.5546875,0.50390625,256,3256.5038759689924,4075.0
5,3033.27734375,0.75390625,256,2700.2849740932643,4053.3968253968255
6,2848.7890625,0.67578125,256,2250.416184971098,4096.0
7,3442.44921875,0.58984375,256,2989.4039735099336,4093.9714285714285
8,3216.3671875,0.703125,256,2856.9055555555556,4067.7236842105262
9,3282.19140625,0.5625,256,2649.2291666666665,4096.0
10,3481.78515625,0.65625,256,3160.0535714285716,4096.0
11,3270.234375,0.7109375,256,2941.445054945055,4078.8783783783783
12,3338.921875,0.64453125,256,2921.3818181818183,4096.0
13,3460.86328125,0.5625,256,2966.8680555555557,4096.0
14,3042.01171875,0.71875,256,2629.5815217391305,4096.0
15,3643.48828125,0.41796875,256,3020.2429906542056,4091.0536912751677
16,3517.03515625,0.5859375,256,3111.5666666666666,4090.811320754717
17,3404.43359375,0.73828125,256,3159.2751322751324,4096.0
18,3103.95703125,0.6171875,256,2541.993670886076,4009.9795918367345
19,3435.9453125,0.6328125,256,3052.9506172839506,4096.0
20,2977.62109375,0.65625,256,2391.8035714285716,4096.0
21,3303.4375,0.6953125,256,2956.1348314606744,4096.0
22,2660.8203125,0.7265625,256,2144.2688172043013,4033.3714285714286
23,3120.57421875,0.71875,256,2738.8858695652175,4096.0
24,2730.2890625,0.890625,256,2565.311403508772,4073.6785714285716
25,3109.37890625,0.78125,256,2840.445,4069.8571428571427
26,3351.6953125,0.55078125,256,2807.8652482269504,4018.478260869565
27,2816.49609375,0.8046875,256,2517.349514563107,4048.98
28,2908.80078125,0.89453125,256,2768.825327510917,4096.0
29,3143.44140625,0.76171875,256,2861.651282051282,4044.245901639344
30,2971.75,0.765625,256,2628.2448979591836,4093.866666666667
31,3364.93359375,0.62109375,256,2956.8490566037735,4033.855670103093
32,3022.54296875,0.72265625,256,2610.5675675675675,4096.0
33,3039.46875,0.75,256,2711.1510416666665,4024.421875
34,3179.70703125,0.69140625,256,2791.723163841808,4048.987341772152
35,2769.40234375,0.8984375,256,2657.1521739130435,3762.3846153846152
36,2935.3828125,0.6875,256,2428.1875,4051.2125
37,3344.703125,0.70703125,256,3033.3922651933703,4096.0
38,2841.21875,0.78125,256,2489.88,4096.0
39,3574.28125,0.671875,256,3319.8023255813955,4095.3571428571427
40,3147.3046875,0.7109375,256,2761.5714285714284,4096.0
41,3106.62109375,0.7734375,256,2824.782828282828,4068.7586206896553
42,2620.734375,0.8984375,256,2465.113043478261,3997.3846153846152
43,2589.171875,0.88671875,256,2396.669603524229,4096.0
44,2892.85546875,0.83984375,256,2663.4186046511627,4096.0
45,2911.8125,0.8359375,256,2701.7196261682243,3982.285714285714
46,3118.7890625,0.74609375,256,2786.2303664921465,4096.0
47,2953.55859375,0.70703125,256,2480.171270718232,4096.0
48,3304.68359375,0.6484375,256,2915.909638554217,4021.7555555555555
49,3128.52734375,0.74609375,256,2799.282722513089,4096.0
50,3404.92578125,0.73046875,256,3152.7860962566847,4088.2608695652175
51,2549.55859375,0.8828125,256,2346.9646017699115,4075.766666666667
52,3106.33984375,0.76953125,256,2821.8883248730963,4056.1186440677966
53,2975.51953125,0.8203125,256,2741.7761904761905,4042.608695652174
54,2546.26953125,0.859375,256,2292.677272727273,4096.0
55,3209.8515625,0.6640625,256,2761.564705882353,4096.0
56,3017.0859375,0.75390625,256,2673.963730569948,4068.2380952380954
57,2872.32421875,0.84765625,256,2652.400921658986,4096.0
58,3111.7421875,0.69140625,256,2672.4406779661017,4096.0
59,2678.3984375,0.8984375,256,2518.1478260869567,4096.0
60,3335.5859375,0.63671875,256,2908.3312883435583,4084.430107526882
61,3115.26953125,0.7578125,256,2820.659793814433,4037.1129032258063
62,2664.45703125,0.7265625,256,2125.7043010752686,4096.0
63,2892.8671875,0.80078125,256,2593.551219512195,4096.0
64,2549.88671875,0.87109375,256,2321.0896860986545,4096.0
65,2896.43359375,0.71875,256,2427.038043478261,4096.0
66,2390.390625,0.94140625,256,2284.2323651452284,4096.0
67,2904.45703125,0.80078125,256,2616.590243902439,4061.5686274509803
68,2748.8359375,0.8671875,256,2593.454954954955,3763.3823529411766
69,2750.57421875,0.75390625,256,2458.2642487046633,3646.063492063492
