"Step","Name: On-policy-GRPO - val-core/codeio-forward-incomplete-depth2/reward/pass@1","Name: On-policy-GRPO - val-core/codeio-forward-incomplete-depth2/reward/pass@1__MIN","Name: On-policy-GRPO - val-core/codeio-forward-incomplete-depth2/reward/pass@1__MAX","Name: On-policy-REINFORCE+Baseline - val-core/codeio-forward-incomplete-depth2/reward/pass@1","Name: On-policy-REINFORCE+Baseline - val-core/codeio-forward-incomplete-depth2/reward/pass@1__MIN","Name: On-policy-REINFORCE+Baseline - val-core/codeio-forward-incomplete-depth2/reward/pass@1__MAX","Name: On-policy-POS+NEG - val-core/codeio-forward-incomplete-depth2/reward/pass@1","Name: On-policy-POS+NEG - val-core/codeio-forward-incomplete-depth2/reward/pass@1__MIN","Name: On-policy-POS+NEG - val-core/codeio-forward-incomplete-depth2/reward/pass@1__MAX","Name: On-policy-SFT - val-core/codeio-forward-incomplete-depth2/reward/pass@1","Name: On-policy-SFT - val-core/codeio-forward-incomplete-depth2/reward/pass@1__MIN","Name: On-policy-SFT - val-core/codeio-forward-incomplete-depth2/reward/pass@1__MAX"
"0","0.140625","0.140625","0.140625","0.140625","0.140625","0.140625","0.09765625","0.09765625","0.09765625","0.11328125","0.11328125","0.11328125"
"25","0.1640625","0.1640625","0.1640625","0.203125","0.203125","0.203125","0.1484375","0.1484375","0.1484375","0.1328125","0.1328125","0.1328125"
"50","0.1875","0.1875","0.1875","0.19921875","0.19921875","0.19921875","0.162109375","0.15234375","0.171875","0.16015625","0.16015625","0.16015625"
"75","0.23046875","0.23046875","0.23046875","0.2109375","0.2109375","0.2109375","0.193359375","0.19140625","0.1953125","0.16015625","0.16015625","0.16015625"
"100","0.28125","0.28125","0.28125","0.2421875","0.2421875","0.2421875","0.1953125","0.1953125","0.1953125","0.1875","0.1875","0.1875"
"125","0.29296875","0.29296875","0.29296875","0.26953125","0.26953125","0.26953125","0.1875","0.1875","0.1875","0.19921875","0.19921875","0.19921875"
"150","0.3046875","0.3046875","0.3046875","0.33203125","0.33203125","0.33203125","0.23046875","0.23046875","0.23046875","0.21875","0.21875","0.21875"
"175","0.34765625","0.34765625","0.34765625","0.38671875","0.38671875","0.38671875","0.25390625","0.25390625","0.25390625","0.265625","0.265625","0.265625"
"200","0.40234375","0.40234375","0.40234375","0.41796875","0.41796875","0.41796875","0.25390625","0.25390625","0.25390625","0.234375","0.234375","0.234375"
"225","0.41796875","0.41796875","0.41796875","0.44140625","0.44140625","0.44140625","0.30859375","0.30859375","0.30859375","0.23828125","0.23828125","0.23828125"
"250","0.4296875","0.4296875","0.4296875","0.44921875","0.44921875","0.44921875","0.29296875","0.29296875","0.29296875","0.24609375","0.24609375","0.24609375"
"275","0.4453125","0.4453125","0.4453125","0.48828125","0.48828125","0.48828125","0.3359375","0.3359375","0.3359375","0.2734375","0.2734375","0.2734375"
"300","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875","0.37109375","0.37109375","0.37109375","0.2734375","0.2734375","0.2734375"
"325","0.48828125","0.48828125","0.48828125","0.4765625","0.4765625","0.4765625","0.39453125","0.39453125","0.39453125","0.21484375","0.21484375","0.21484375"
"350","0.48828125","0.48828125","0.48828125","0.51171875","0.51171875","0.51171875","0.41015625","0.41015625","0.41015625","0.26171875","0.26171875","0.26171875"
"375","0.5","0.5","0.5","0.51953125","0.51953125","0.51953125","0.4140625","0.4140625","0.4140625","0.26171875","0.26171875","0.26171875"
"400","0.47265625","0.47265625","0.47265625","0.48828125","0.48828125","0.48828125","0.46484375","0.453125","0.4765625","0.27734375","0.27734375","0.27734375"
"425","0.484375","0.484375","0.484375","0.5","0.5","0.5","0.423828125","0.421875","0.42578125","0.28125","0.28125","0.28125"
"450","0.49609375","0.49609375","0.49609375","0.4375","0.4375","0.4375","0.4296875","0.40234375","0.45703125","0.271484375","0.26953125","0.2734375"
"475","0.53515625","0.53515625","0.53515625","0.484375","0.484375","0.484375","0.447265625","0.42578125","0.46875","0.283203125","0.28125","0.28515625"
"500","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125","0.45703125","0.45703125","0.45703125","0.2890625","0.2890625","0.2890625"
"525","0.546875","0.546875","0.546875","0.4921875","0.4921875","0.4921875","0.47265625","0.47265625","0.47265625","0.234375","0.234375","0.234375"
"550","0.52734375","0.51171875","0.54296875","0.5390625","0.5390625","0.5390625","0.5","0.5","0.5","0.22265625","0.22265625","0.22265625"
"575","","","","0.51953125","0.51953125","0.51953125","0.48828125","0.48828125","0.48828125","0.21875","0.21875","0.21875"
"600","0.53515625","0.53515625","0.53515625","0.57421875","0.57421875","0.57421875","0.51171875","0.51171875","0.51171875","0.23046875","0.23046875","0.23046875"
"625","","","","0.599609375","0.5625","0.63671875","0.5234375","0.5234375","0.5234375","0.23828125","0.23828125","0.23828125"
"650","0.53125","0.53125","0.53125","0.572265625","0.53125","0.61328125","0.48046875","0.48046875","0.48046875","0.26953125","0.26953125","0.26953125"
"675","","","","0.57421875","0.57421875","0.57421875","0.55078125","0.55078125","0.55078125","0.27734375","0.27734375","0.27734375"
"700","0.6015625","0.6015625","0.6015625","0.5859375","0.5859375","0.5859375","0.53125","0.53125","0.53125","0.2890625","0.2890625","0.2890625"
"725","","","","0.546875","0.546875","0.546875","0.546875","0.546875","0.546875","0.2578125","0.2578125","0.2578125"
"750","0.59765625","0.59765625","0.59765625","0.54296875","0.54296875","0.54296875","0.546875","0.546875","0.546875","0.31640625","0.31640625","0.31640625"
"775","","","","0.60546875","0.60546875","0.60546875","0.51953125","0.51953125","0.51953125","0.29296875","0.29296875","0.29296875"
"800","0.58203125","0.58203125","0.58203125","0.60546875","0.60546875","0.60546875","0.53515625","0.53515625","0.53515625","0.27734375","0.27734375","0.27734375"
"825","","","","0.61328125","0.61328125","0.61328125","0.5546875","0.5546875","0.5546875","0.3125","0.3125","0.3125"
"850","0.6328125","0.6328125","0.6328125","0.64453125","0.64453125","0.64453125","0.59375","0.59375","0.59375","0.25390625","0.25390625","0.25390625"
"875","","","","0.6328125","0.6328125","0.6328125","0.546875","0.546875","0.546875","0.27734375","0.27734375","0.27734375"
"900","0.6328125","0.6328125","0.6328125","0.671875","0.671875","0.671875","0.5859375","0.5859375","0.5859375","0.25390625","0.25390625","0.25390625"
"925","","","","0.66796875","0.66796875","0.66796875","0.55859375","0.55859375","0.55859375","0.3125","0.3125","0.3125"
"950","0.68359375","0.68359375","0.68359375","0.6328125","0.6328125","0.6328125","0.58203125","0.58203125","0.58203125","0.3125","0.3125","0.3125"
"975","","","","0.625","0.625","0.625","0.5859375","0.5859375","0.5859375","0.3046875","0.3046875","0.3046875"
"1000","0.73046875","0.73046875","0.73046875","0.62109375","0.62109375","0.62109375","0.546875","0.53125","0.5625","0.30859375","0.30859375","0.30859375"
"1025","","","","0.6171875","0.6171875","0.6171875","0.55859375","0.546875","0.5703125","0.296875","0.296875","0.296875"
"1050","0.67578125","0.67578125","0.67578125","0.59765625","0.59765625","0.59765625","0.564453125","0.55078125","0.578125","0.3046875","0.3046875","0.3046875"
"1075","","","","0.6484375","0.6484375","0.6484375","0.55078125","0.53515625","0.56640625","0.3046875","0.3046875","0.3046875"
"1100","0.390625","0.390625","0.390625","0.63671875","0.63671875","0.63671875","0.578125","0.578125","0.578125","0.3046875","0.3046875","0.3046875"
"1125","","","","","","","0.5703125","0.5703125","0.5703125","0.3203125","0.3203125","0.3203125"
"1150","0.50390625","0.50390625","0.50390625","","","","0.5625","0.5625","0.5625","0.30078125","0.30078125","0.30078125"
"1175","","","","","","","0.546875","0.546875","0.546875","0.30078125","0.30078125","0.30078125"
"1200","","","","","","","0.5703125","0.5703125","0.5703125","0.28515625","0.28515625","0.28515625"
"1225","","","","","","","0.546875","0.546875","0.546875","0.296875","0.296875","0.296875"
