Data,Loss Function,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,wandb,priority
On-policy,GRPO,0.88281,0.73047,0.25781,0.11719,0.023438,0.011719,0.0039,0,,
On-policy,REINFORCE+Baseline,0.875,0.67188,0.27734,0.078125,0.015625,0.0078125,0.0039063,0,,
On-policy,POS+NEG,0.78125,0.54296875,0.1328125,0.046875,0.0078125,0.00390625,0,0,,
On-policy,SFT,0.69140625,0.28515625,0.06640625,0.02734375,0.01171875,0,0,0,,
Bootstrap,GRPO,,,,,,,,,,1
Bootstrap,REINFORCE+Baseline,,,,,,,,,,2
Bootstrap,POS+NEG,,,,,,,,,,3
Bootstrap,SFT,0.7421875,0.2421875,0.05859375,0.02734375,0.01171875,0,0,0,,
Teacher,GRPO,,,,,,,,,,4
Teacher,REINFORCE+Baseline,,,,,,,,,,5
Teacher,POS+NEG,,,,,,,,,,6
Teacher,SFT,0.77734375,0.3671875,0.08984375,0.03125,0,0,0,0,,
