"Step","Name: math-bootstrap-SFT-easy-Qwen3-1.7B - rollout/avg_response_length","Name: math-bootstrap-SFT-easy-Qwen3-1.7B - rollout/avg_response_length__MIN","Name: math-bootstrap-SFT-easy-Qwen3-1.7B - rollout/avg_response_length__MAX","Name: math-bootstrap-GRPO-easy-Qwen3-1.7B - rollout/avg_response_length","Name: math-bootstrap-GRPO-easy-Qwen3-1.7B - rollout/avg_response_length__MIN","Name: math-bootstrap-GRPO-easy-Qwen3-1.7B - rollout/avg_response_length__MAX","Name: math-onpolicy-PosNeg-Qwen3-1.7B - rollout/avg_response_length","Name: math-onpolicy-PosNeg-Qwen3-1.7B - rollout/avg_response_length__MIN","Name: math-onpolicy-PosNeg-Qwen3-1.7B - rollout/avg_response_length__MAX","Name: math-onpolicy-SFT-Qwen3-1.7B - rollout/avg_response_length","Name: math-onpolicy-SFT-Qwen3-1.7B - rollout/avg_response_length__MIN","Name: math-onpolicy-SFT-Qwen3-1.7B - rollout/avg_response_length__MAX","Name: math-onpolicy-Reinforce-Baseline-Qwen3-1.7B - rollout/avg_response_length","Name: math-onpolicy-Reinforce-Baseline-Qwen3-1.7B - rollout/avg_response_length__MIN","Name: math-onpolicy-Reinforce-Baseline-Qwen3-1.7B - rollout/avg_response_length__MAX","Name: math-onpolicy-GRPO-Qwen3-1.7B - rollout/avg_response_length","Name: math-onpolicy-GRPO-Qwen3-1.7B - rollout/avg_response_length__MIN","Name: math-onpolicy-GRPO-Qwen3-1.7B - rollout/avg_response_length__MAX"
"1","2286.933349609375","2286.933349609375","2286.933349609375","2841.822998046875","2841.822998046875","2841.822998046875","3966.017822265625","3966.017822265625","3966.017822265625","3444.3125","3444.3125","3444.3125","3881.354248046875","3881.354248046875","3881.354248046875","3876.27685546875","3876.27685546875","3876.27685546875"
"2","3188.458251953125","3188.458251953125","3188.458251953125","3627.38134765625","3627.38134765625","3627.38134765625","3855.229248046875","3855.229248046875","3855.229248046875","3816.522705078125","3816.522705078125","3816.522705078125","4083.640625","4083.640625","4083.640625","3911.90966796875","3911.90966796875","3911.90966796875"
"3","3246.7666015625","3246.7666015625","3246.7666015625","3518.09375","3518.09375","3518.09375","3587.8671875","3587.8671875","3587.8671875","3336.166748046875","3336.166748046875","3336.166748046875","3590.865966796875","3590.865966796875","3590.865966796875","3836.385498046875","3836.385498046875","3836.385498046875"
"4","3539.40625","3539.40625","3539.40625","3757.0703125","3757.0703125","3757.0703125","3890.199951171875","3890.199951171875","3890.199951171875","3459.677001953125","3459.677001953125","3459.677001953125","3676.860595703125","3676.860595703125","3676.860595703125","3712.9375","3712.9375","3712.9375"
"5","3282.702392578125","3282.702392578125","3282.702392578125","3617.543701171875","3617.543701171875","3617.543701171875","3657.581298828125","3657.581298828125","3657.581298828125","3426.199951171875","3426.199951171875","3426.199951171875","3558.543701171875","3558.543701171875","3558.543701171875","3671.708251953125","3671.708251953125","3671.708251953125"
"6","2764.699951171875","2764.699951171875","2764.699951171875","3171.65625","3171.65625","3171.65625","3668.012451171875","3668.012451171875","3668.012451171875","3392.28564453125","3392.28564453125","3392.28564453125","3581.6875","3581.6875","3581.6875","3620.08740234375","3620.08740234375","3620.08740234375"
"7","3502.9306640625","3502.9306640625","3502.9306640625","3705.25","3705.25","3705.25","3835.71533203125","3835.71533203125","3835.71533203125","3634.9853515625","3634.9853515625","3634.9853515625","3814.833251953125","3814.833251953125","3814.833251953125","3700.074951171875","3700.074951171875","3700.074951171875"
"8","3389.683349609375","3389.683349609375","3389.683349609375","3699.28125","3699.28125","3699.28125","3811.8681640625","3811.8681640625","3811.8681640625","3203.330078125","3203.330078125","3203.330078125","3873.41064453125","3873.41064453125","3873.41064453125","3798.46435546875","3798.46435546875","3798.46435546875"
"9","3083.078125","3083.078125","3083.078125","3443.09814453125","3443.09814453125","3443.09814453125","3974.59375","3974.59375","3974.59375","3608.520751953125","3608.520751953125","3608.520751953125","3994.416748046875","3994.416748046875","3994.416748046875","4022.21435546875","4022.21435546875","4022.21435546875"
"10","3128.27392578125","3128.27392578125","3128.27392578125","3569.015625","3569.015625","3569.015625","3878.9033203125","3878.9033203125","3878.9033203125","3622.32958984375","3622.32958984375","3622.32958984375","4002.25","4002.25","4002.25","3753.30615234375","3753.30615234375","3753.30615234375"
