"Step","Name: On-policy-GRPO - rollout/avg_response_length","Name: On-policy-GRPO - rollout/avg_response_length__MIN","Name: On-policy-GRPO - rollout/avg_response_length__MAX","Name: On-policy-REINFORCE+Baseline - rollout/avg_response_length","Name: On-policy-REINFORCE+Baseline - rollout/avg_response_length__MIN","Name: On-policy-REINFORCE+Baseline - rollout/avg_response_length__MAX","Name: On-policy-POS+NEG - rollout/avg_response_length","Name: On-policy-POS+NEG - rollout/avg_response_length__MIN","Name: On-policy-POS+NEG - rollout/avg_response_length__MAX","Name: On-policy-SFT - rollout/avg_response_length","Name: On-policy-SFT - rollout/avg_response_length__MIN","Name: On-policy-SFT - rollout/avg_response_length__MAX"
"1","289.9375","289.9375","289.9375","289.9375","289.9375","289.9375","326.640625","325.984375","327.296875","334.0625","334.0625","334.0625"
"2","350.92498779296875","350.92498779296875","350.92498779296875","350.92498779296875","350.92498779296875","350.92498779296875","297.828125","284.171875","311.484375","356.5416564941406","356.5416564941406","356.5416564941406"
"3","291.2083435058594","291.2083435058594","291.2083435058594","283.5833435058594","283.5833435058594","283.5833435058594","288.7953186035156","279.26251220703125","298.328125","291.9375","291.9375","291.9375"
"4","337.7291564941406","337.7291564941406","337.7291564941406","338.45001220703125","338.45001220703125","338.45001220703125","381.3098907470703","364.421875","398.1979064941406","306.5714416503906","306.5714416503906","306.5714416503906"
"5","364.54998779296875","364.54998779296875","364.54998779296875","393.34375","393.34375","393.34375","339.86756896972656","335.8958435058594","343.83929443359375","332.25","332.25","332.25"
"6","324.3660583496094","324.3660583496094","324.3660583496094","334.5625","334.5625","334.5625","326.015625","320.875","331.15625","311.75","311.75","311.75"
"7","377.7321472167969","377.7321472167969","377.7321472167969","363.6953125","363.6953125","363.6953125","363.6953125","332.109375","395.28125","440.625","440.625","440.625"
"8","350.25","350.25","350.25","395.4821472167969","395.4821472167969","395.4821472167969","340.8020782470703","338.2916564941406","343.3125","327.5","327.5","327.5"
"9","366.703125","366.703125","366.703125","377.03125","377.03125","377.03125","412.5234375","351.75","473.296875","316.5625","316.5625","316.5625"
"10","287.42498779296875","287.42498779296875","287.42498779296875","335.0208435058594","335.0208435058594","335.0208435058594","334.859375","327.53125","342.1875","304.8125","304.8125","304.8125"
"11","333.796875","333.796875","333.796875","284.09375","284.09375","284.09375","366.6031188964844","360.28125","372.92498779296875","307","307","307"
"12","269.4166564941406","269.4166564941406","269.4166564941406","271.6875","271.6875","271.6875","330.921875","298.1875","363.65625","345.8500061035156","345.8500061035156","345.8500061035156"
"13","555.78125","555.78125","555.78125","372.53125","372.53125","372.53125","369.14552307128906","323.11248779296875","415.1785583496094","455.4750061035156","455.4750061035156","455.4750061035156"
